Title,Image,Stars,Discounted_Price,Original_Price,Discount,,,
SONIA MUSICALS Musical Double Bellow 39 Keys Bass Reed Linden Wood Harmonium,https://m.media-amazon.com/images/I/61sqdQBekHL._AC_UL320_.jpg,,"₹10,500","₹15,099",(30% off),,,
"boAt Airdopes 141 True Wireless Earbuds with 42H Playtime, Beast™ Mode(Low Latency Upto 80ms) for Gaming, ENx™ Tech, ASAP™ Charge, IWP™, IPX4 Water Resistance, Smooth Touch Controls(Bold Black)",https://m.media-amazon.com/images/I/51HBom8xz7L._AC_UL320_.jpg,3.9 out of 5 stars,"₹1,349","₹4,490",(70% off),,,
"pTron Pride Indie in-Ear Wired Earphones with Mic, Stereo Sound, 10mm Drivers, Snug-fit Design, Passive Noise Cancellation, in-line Controls, Universal 3.5mm Aux & 1.2m Tange-Free Cable (Black)",https://m.media-amazon.com/images/I/513dZbDUdtL._AC_UL320_.jpg,3.8 out of 5 stars,₹199,₹699,(72% off),,,
"boAt Airdopes 141 True Wireless Earbuds with 42H Playtime, Beast™ Mode(Low Latency Upto 80ms) for Gaming, ENx™ Tech, ASAP™ Charge, IWP™, IPX4 Water Resistance, Smooth Touch Controls(Cider Cyan)",https://m.media-amazon.com/images/I/51tFAbNRaPL._AC_UL320_.jpg,3.9 out of 5 stars,"₹1,349","₹4,490",(70% off),,,
"Fire-Boltt India's No 1 Smartwatch Brand Talk 2 Bluetooth Calling Smartwatch with Dual Button, Hands On Voice Assistance, 60 Sports Modes, in Built Mic & Speaker with IP68 Rating",https://m.media-amazon.com/images/I/61mqaxj-iCL._AC_UL320_.jpg,4.2 out of 5 stars,"₹2,199","₹9,999",(78% off),,,
"boAt Airdopes 141 True Wireless Earbuds with 42H Playtime, Beast™ Mode(Low Latency Upto 80ms) for Gaming, ENx™ Tech, ASAP™ Charge, IWP™, IPX4 Water Resistance, Smooth Touch Controls(Pure White)",https://m.media-amazon.com/images/I/516MceMiCdL._AC_UL320_.jpg,3.9 out of 5 stars,"₹1,349","₹4,490",(70% off),,,
"boAt Wave Lite Smartwatch with 1.69"" HD Display, Sleek Metal Body, HR & SpO2 Level Monitor, 140+ Watch Faces, Activity Tracker, Multiple Sports Modes, IP68 & 7 Days Battery Life(Active Black)",https://m.media-amazon.com/images/I/61DZclqQ4RL._AC_UL320_.jpg,3.9 out of 5 stars,"₹1,799","₹6,990",(74% off),,,
"Fire-Boltt Ninja 3 Smartwatch Full Touch 1.69 & 60 Sports Modes with IP68, Sp02 Tracking, Over 100 Cloud based watch faces - Black",https://m.media-amazon.com/images/I/61F3eRezP-L._AC_UL320_.jpg,4.2 out of 5 stars,"₹1,799","₹7,999",(78% off),,,
"Fire-Boltt Dazzle Smartwatch Borderless Full Touch 1.69” Display, 60 Sports Modes (Swimming) with IP68 Rating, Sp02 Tracking, Over 100 Cloud Based Watch Faces",https://m.media-amazon.com/images/I/71Ox29DXSSL._AC_UL320_.jpg,4.0 out of 5 stars,"₹1,499","₹9,999",(85% off),,,
"U&M DC Superheros Premium Textured Quality Printed Mouse Pad for Home, Offices & Gaming",https://m.media-amazon.com/images/I/61Qm5AESueL._AC_UL320_.jpg,,₹99,₹399,(75% off),,,
VEKTA Charger Qualcom Fast USB Charger 18w,https://m.media-amazon.com/images/I/21q27cVHjAL._AC_UL320_.jpg,,₹299,"₹1,500",(80% off),,,
SONIA MUSICALS Musical Harmonium H23-7M 7 Stopper,https://m.media-amazon.com/images/I/515f74N1W-L._AC_UL320_.jpg,,"₹8,500","₹11,099",(23% off),,,
"pTron Bassbuds Fute 5.1 Bluetooth Truly Wireless Featherlite TWS in Ear Earbuds with Mic 25Hrs Playtime, 13Mm Dynamic Driver, Immersive Audio, Touch Control, Voice Assistance & Fast Charging (Black)",https://m.media-amazon.com/images/I/51PNGyUNvmL._AC_UL320_.jpg,3.4 out of 5 stars,₹659,"₹3,299",(80% off),,,
STRIFF Adjustable Laptop Stand Patented Riser Ventilated Portable Foldable Compatible with MacBook Notebook Tablet Tray Desk Table Book with Free Phone Stand(Black),https://m.media-amazon.com/images/I/71Zf9uUp+GL._AC_UL320_.jpg,4.3 out of 5 stars,₹334,"₹1,499",(78% off),,,
"boAt Newly Launched Wave Style with 1.69"" Square HD Display, HR & SpO2 Monitoring, 7 Days Battery Life, Multiple Watch Faces, Crest App Health Ecosystem, Multiple Sports Modes, IP68(Active Black)",https://m.media-amazon.com/images/I/61DLjie1aUL._AC_UL320_.jpg,3.9 out of 5 stars,"₹1,599","₹5,960",(73% off),,,
"pTron Bullet Pro 36W PD Quick Charger, 3 Port Fast Car Charger Adapter - Compatible with All Smartphones & Tablets (Black)",https://m.media-amazon.com/images/I/61aBH+cXL2L._AC_UL320_.jpg,4.0 out of 5 stars,₹349,"₹1,299",(73% off),,,
